ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3872823,39.44541,-104.87551,2,Light Rain,10,10,0.03,18,6,9,At Happy Canyon Rd/Exit 187 - Accident.
A-3872824,39.097496,-104.863884,2,Heavy Rain,0,10,0,18,6,9,At CO-105/Exit 161 - Accident.
A-3872825,39.51999,-104.86709,2,Fair,10,10,0.03,18,6,9,At Lincoln Ave/Exit 193 - Accident.
A-3873980,39.77443,-104.85186,2,Fair,10,5,0,5,7,9,At Peoria St/Exit 281 - Accident. Roadway reduced to 1 lane. Police activity ongoing.
A-3873981,38.883343,-104.836048,2,Fair,10,5,0,6,7,9,At CO-38/Fillmore St/Exit 145 - Accident.
A-3873982,40.124695,-104.979847,2,Fair,10,0,0,6,7,9,At CO-119/Exit 240 - Accident.
A-3873988,39.73479,-105.01503,2,Fair,20,20,0,10,7,9,At US-40/CO-33/Colfax Ave/Exit 210 - Accident.
A-3873992,39.284526,-104.896331,2,Fair,10,0,0,11,7,9,At Wilcox St/Plum Crk Pky/Exit 181 - Accident.
A-3873993,39.644057,-104.913058,2,Fair,10,5,0,12,7,9,At US-285/Hampden Ave/Exit 201 - Accident.
A-3874010,38.259036,-104.880766,2,Fair,10,10,0,17,7,9,At CR-201/Siloam Rd - Accident.
A-3874011,39.80217,-104.93567,2,Fair,10,10,0,17,7,9,At York St/Exit 1 - Accident.
A-3874012,39.290085,-104.895131,2,Fair,10,5,0,18,7,9,At Wilcox St/Plum Crk Pky/Exit 181 - Accident.
A-3874013,39.290085,-104.895131,2,Fair,10,5,0,18,7,9,At Wilcox St/Plum Crk Pky/Exit 181 - Accident. Right lane blocked. Object on roadway {something that does not neccessarily block the road or part of it}.
A-3874014,39.900159,-104.988162,2,Fair,30,0,0,21,7,9,At 104th Ave/Exit 221 - Accident.
A-3874015,39.90971,-104.99094,2,Fair,30,0,0,20,7,9,At 104th Ave/Exit 221 - Accident. Lane blocked.
A-3874016,37.234076,-104.333642,2,Fair,10,0,0,20,7,9,At CR-113 - Accident.
A-3874017,37.234569,-104.329655,2,Fair,10,0,0,20,7,9,At US-350 - Accident.
A-3874828,39.284526,-104.896331,2,Fair,10,15,0,12,8,9,At Wilcox St/Plum Crk Pky/Exit 181 - Accident.
A-3874829,39.838478,-104.98352,2,Fair,25,5,0,14,8,9,At 84th Ave/Exit 219 - Accident.
A-3874830,39.290085,-104.895131,2,Fair,10,20,0,14,8,9,At Wilcox St/Plum Crk Pky/Exit 181 - Accident.
A-3874831,39.82944,-104.9432,2,Fair,10,15,0,15,8,9,At CO-224/74th Ave/Exit 8 - Accident.
A-3874832,39.57889,-104.87586,2,Light Rain,5,10,0.09,17,8,9,At Dry Creek Rd/Exit 196 - Accident.
A-3874833,39.912068,-104.99029,2,Fair,5,5,0,16,8,9,At CO-128/120th Ave/Exit 223 - Accident.
A-3874834,39.76606,-104.8275,2,Light Rain,10,5,0.06,17,8,9,Ramp to I-70 Westbound and Peoria St - Accident.
A-3874835,39.56216,-105.01505,2,Fair,10,5,0,18,8,9,At US-85/Santa Fe Dr - Accident.
A-3874836,39.78364,-105.00322,2,Fair,10,5,0,19,8,9,At Pecos St/Exit 273 - Accident.
A-3874837,38.309024,-104.626314,2,Fair,10,0,0,21,8,9,At Ridge Dr - Accident.
A-3875615,38.862008,-104.914516,2,Fair,10,10,0,7,9,9,At US-24-BL/Manitou Ave (East) - Accident.
A-3875616,39.843321,-104.98448,2,Fog,0,5,0,6,9,9,At US-36/Exit 217 - Accident.
A-3875617,39.16516,-104.853074,2,Fair,10,5,0,7,9,9,At Greenland Rd/Exit 167 - Accident.
A-3875618,39.390715,-104.83042,3,Fair,10,10,0,9,9,9,Closed at CR-43/N Crowfoot Valley Rd - Road closed due to accident.
A-3875619,39.723183,-105.011204,2,Fair,30,5,0,14,9,9,At US-6/6th Ave/Exit 209 - Accident.
A-3875620,39.77514,-104.860009,2,Fair,10,10,0,17,9,9,At Peoria St/Exit 281 - Accident.
A-3875621,37.638464,-104.754291,2,Fair,10,10,0,22,9,9,At CR-2 - Accident.
A-3876711,40.433027,-104.67951,2,Fair,10,10,0,3,10,9,At US-85-BR/6th Ave - Accident.
